# file = "data/output_0.csv"
# samples = 1000
# randomize = 1
# -----
outcome,length,chain
"Success",9,"9;11;2;8;3;4;5;8;9"
"Fail",9,"10;5;9;5;8;5;11;6;7"
"Success",1,"7"
"Success",1,"7"
"Fail",15,"10;11;3;9;12;11;6;3;3;11;5;8;9;6;7"
"Fail",1,"3"
"Success",5,"10;9;2;9;10"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",1,"2"
"Fail",2,"6;7"
"Success",6,"8;3;5;2;11;8"
"Fail",2,"4;7"
"Fail",3,"5;8;7"
"Fail",2,"6;7"
"Fail",4,"5;9;8;7"
"Fail",5,"6;5;5;9;7"
"Success",2,"10;10"
"Fail",2,"4;7"
"Fail",2,"8;7"
"Fail",3,"5;9;7"
"Success",9,"9;6;11;8;8;8;5;11;9"
"Success",1,"7"
"Success",1,"7"
"Fail",3,"5;6;7"
"Success",3,"6;10;6"
"Success",1,"7"
"Success",1,"11"
"Success",2,"6;6"
"Success",3,"5;6;5"
"Success",1,"11"
"Fail",3,"6;11;7"
"Fail",1,"3"
"Success",1,"11"
"Fail",2,"9;7"
"Fail",7,"5;6;8;8;3;9;7"
"Success",1,"7"
"Success",14,"9;3;4;2;5;3;8;6;10;8;3;3;8;9"
"Success",1,"7"
"Fail",2,"6;7"
"Success",1,"7"
"Fail",5,"9;6;11;8;7"
"Fail",3,"4;2;7"
"Success",1,"7"
"Success",2,"6;6"
"Success",6,"6;8;2;3;9;6"
"Fail",1,"3"
"Fail",1,"3"
"Fail",3,"6;8;7"
"Success",1,"7"
"Success",1,"11"
"Fail",10,"4;5;10;11;6;5;2;8;9;7"
"Fail",2,"6;7"
"Fail",2,"5;7"
"Success",5,"6;11;8;3;6"
"Success",2,"5;5"
"Fail",1,"3"
"Success",4,"6;4;3;6"
"Success",2,"8;8"
"Success",2,"10;10"
"Fail",5,"4;6;9;10;7"
"Success",1,"11"
"Fail",2,"4;7"
"Success",2,"9;9"
"Fail",1,"12"
